gamma_n(1200)=0
 t= 10.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 11.2,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 12,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 12.8,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 13.6,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 14.4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 15.2,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 16,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 16.8,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 17.6,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 18.4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 19.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 19.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 19.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 19.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 19.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
